width,params,repeat,epoch,train_loss,train_acc,test_loss,test_acc
1,774,2,44,2.027813,0.268800,1.888290,0.317700
1,774,2,45,2.023192,0.271800,1.887058,0.315000
1,774,2,46,2.026486,0.265400,1.883561,0.305400
1,774,2,47,2.022016,0.271200,1.896770,0.306900
1,774,2,48,2.024621,0.269700,1.923146,0.297700
1,774,2,49,2.024118,0.271700,1.939452,0.307800
1,774,2,50,2.025158,0.274000,1.946826,0.278800
1,774,2,51,2.027077,0.266400,1.903263,0.304600
1,774,2,52,2.016078,0.274300,1.895577,0.304800
1,774,2,53,2.027424,0.272900,1.891476,0.298800
1,774,2,54,2.030560,0.266500,1.898128,0.311900
1,774,2,55,2.020178,0.276900,1.889230,0.309000
1,774,2,56,2.025031,0.273200,1.955517,0.295800
1,774,2,57,2.014850,0.274300,1.918720,0.306800
1,774,2,58,2.016070,0.273300,1.905402,0.304900
1,774,2,59,2.025185,0.274200,1.953652,0.283800
1,774,2,60,2.028829,0.271700,1.911771,0.281200
1,774,2,61,2.022195,0.272900,1.878691,0.307900
1,774,2,62,2.015122,0.282200,1.916379,0.307900
1,774,2,63,2.021433,0.274000,1.875681,0.312600
1,774,2,64,2.010099,0.275000,1.900836,0.304400
1,774,2,65,2.016815,0.277600,1.879553,0.301700
1,774,2,66,2.009256,0.281100,1.922701,0.296500
1,774,2,67,2.007855,0.286500,1.942843,0.293400
1,774,2,68,2.005810,0.285900,1.898257,0.310800
1,774,2,69,2.013955,0.281200,1.887929,0.315800
1,774,2,70,2.006435,0.283200,1.916922,0.309600
1,774,2,71,2.007343,0.280700,1.881165,0.320500
1,774,2,72,2.000994,0.284900,1.883417,0.314700
1,774,2,73,2.012125,0.280500,1.882133,0.313500
1,774,2,74,2.011040,0.278600,1.886496,0.315200
1,774,2,75,2.018928,0.277100,1.873130,0.303200
1,774,2,76,2.011351,0.280400,1.892066,0.318300
1,774,2,77,2.015736,0.279200,1.886862,0.304000
1,774,2,78,2.015238,0.276200,1.893750,0.309500
1,774,2,79,2.000995,0.284300,1.878702,0.314300
1,774,2,80,2.009147,0.284800,1.858641,0.311700
1,774,2,81,2.020238,0.277700,1.885461,0.313900
1,774,2,82,2.005358,0.282500,1.911132,0.295500
1,774,2,83,2.001344,0.290100,1.873890,0.314200
1,774,2,84,2.012422,0.279300,1.895063,0.308800
1,774,2,85,2.005144,0.285800,1.869355,0.315700
1,774,2,86,2.004500,0.286100,1.920642,0.296400
1,774,2,87,2.008356,0.282100,1.874235,0.319000
1,774,2,88,1.997185,0.287000,1.879151,0.299300
1,774,2,89,1.994836,0.286400,1.868473,0.315000
1,774,2,90,2.007090,0.278000,1.870946,0.315900
1,774,2,91,1.997975,0.288400,1.880338,0.315200
1,774,2,92,1.992316,0.293900,1.889902,0.310400
1,774,2,93,1.995648,0.284300,1.894144,0.296400
1,774,2,94,1.993836,0.288300,1.871760,0.316000
